query_number,iteration,execution_order,execution_time_seconds,status,row_count,timestamp
14,7,151,.151053,SUCCESS,3,2025-10-12 23:38:28
20,7,152,.362231,SUCCESS,11,2025-10-12 23:38:29
15,7,153,.182472,SUCCESS,3,2025-10-12 23:38:30
19,7,154,.067519,SUCCESS,3,2025-10-12 23:38:31
11,8,155,.185348,SUCCESS,2543,2025-10-12 23:38:32
2,8,156,.186126,SUCCESS,46,2025-10-12 23:38:33
12,8,157,.603143,SUCCESS,4,2025-10-12 23:38:35
22,8,158,.136977,SUCCESS,9,2025-10-12 23:38:36
21,8,159,.639132,SUCCESS,49,2025-10-12 23:38:38
18,8,160,2.620026,SUCCESS,7,2025-10-12 23:38:44
3,8,161,.353102,SUCCESS,12,2025-10-12 23:38:45
10,8,162,.431655,SUCCESS,22,2025-10-12 23:38:46
9,8,163,.918396,SUCCESS,177,2025-10-12 23:38:49
13,8,164,.700529,SUCCESS,39,2025-10-12 23:38:52
6,8,165,.188785,SUCCESS,3,2025-10-12 23:38:53
16,8,166,.336660,SUCCESS,2764,2025-10-12 23:38:54
17,8,167,.592468,SUCCESS,3,2025-10-12 23:38:56
1,8,168,1.671758,SUCCESS,6,2025-10-12 23:39:00
5,8,169,.247750,SUCCESS,7,2025-10-12 23:39:01
15,8,170,.204365,SUCCESS,3,2025-10-12 23:39:02
14,8,171,.141656,SUCCESS,3,2025-10-12 23:39:03
8,8,172,.306897,SUCCESS,4,2025-10-12 23:39:04
19,8,173,.071206,SUCCESS,3,2025-10-12 23:39:05
7,8,174,.430894,SUCCESS,6,2025-10-12 23:39:06
20,8,175,.358877,SUCCESS,11,2025-10-12 23:39:07
4,8,176,.324395,SUCCESS,7,2025-10-12 23:39:09
20,9,177,.308423,SUCCESS,11,2025-10-12 23:39:10
16,9,178,.335521,SUCCESS,2764,2025-10-12 23:39:11
2,9,179,.223950,SUCCESS,46,2025-10-12 23:39:12
18,9,180,2.734725,SUCCESS,7,2025-10-12 23:39:18
1,9,181,1.675288,SUCCESS,6,2025-10-12 23:39:22
15,9,182,.169302,SUCCESS,3,2025-10-12 23:39:23
6,9,183,.169414,SUCCESS,3,2025-10-12 23:39:24
17,9,184,.578415,SUCCESS,3,2025-10-12 23:39:26
8,9,185,.313884,SUCCESS,4,2025-10-12 23:39:27
7,9,186,.416642,SUCCESS,6,2025-10-12 23:39:29
5,9,187,.220354,SUCCESS,7,2025-10-12 23:39:30
21,9,188,.480901,SUCCESS,49,2025-10-12 23:39:31
10,9,189,.442598,SUCCESS,22,2025-10-12 23:39:33
19,9,190,.081200,SUCCESS,3,2025-10-12 23:39:34
4,9,191,.336908,SUCCESS,7,2025-10-12 23:39:35
12,9,192,.583916,SUCCESS,4,2025-10-12 23:39:37
14,9,193,.134903,SUCCESS,3,2025-10-12 23:39:38
3,9,194,.384150,SUCCESS,12,2025-10-12 23:39:39
11,9,195,.214876,SUCCESS,2543,2025-10-12 23:39:40
9,9,196,.921339,SUCCESS,177,2025-10-12 23:39:42
13,9,197,.706054,SUCCESS,39,2025-10-12 23:39:44
22,9,198,.140972,SUCCESS,9,2025-10-12 23:39:45
19,10,199,.070475,SUCCESS,3,2025-10-12 23:39:46
3,10,200,.409001,SUCCESS,12,2025-10-12 23:39:48
5,10,201,.204773,SUCCESS,7,2025-10-12 23:39:49
10,10,202,.454316,SUCCESS,22,2025-10-12 23:39:50
9,10,203,.934799,SUCCESS,177,2025-10-12 23:39:53
20,10,204,.397959,SUCCESS,11,2025-10-12 23:39:54
4,10,205,.333218,SUCCESS,7,2025-10-12 23:39:55
8,10,206,.342671,SUCCESS,4,2025-10-12 23:39:56
14,10,207,.155287,SUCCESS,3,2025-10-12 23:39:57
13,10,208,.709666,SUCCESS,39,2025-10-12 23:39:59
18,10,209,2.690408,SUCCESS,7,2025-10-12 23:40:05
16,10,210,.342889,SUCCESS,2764,2025-10-12 23:40:07
12,10,211,.607488,SUCCESS,4,2025-10-12 23:40:09
22,10,212,.133252,SUCCESS,9,2025-10-12 23:40:09
17,10,213,.581612,SUCCESS,3,2025-10-12 23:40:11
7,10,214,.358058,SUCCESS,6,2025-10-12 23:40:13
2,10,215,.222221,SUCCESS,46,2025-10-12 23:40:14
6,10,216,.193651,SUCCESS,3,2025-10-12 23:40:15
15,10,217,.176511,SUCCESS,3,2025-10-12 23:40:16
11,10,218,.199313,SUCCESS,2543,2025-10-12 23:40:17
21,10,219,.513611,SUCCESS,49,2025-10-12 23:40:18
1,10,220,1.687919,SUCCESS,6,2025-10-12 23:40:22
15,11,221,.170538,SUCCESS,3,2025-10-12 23:40:23
19,11,222,.077964,SUCCESS,3,2025-10-12 23:40:24
20,11,223,.342163,SUCCESS,11,2025-10-12 23:40:25
18,11,224,2.633607,SUCCESS,7,2025-10-12 23:40:31
16,11,225,.341570,SUCCESS,2764,2025-10-12 23:40:33
13,11,226,.715069,SUCCESS,39,2025-10-12 23:40:35
8,11,227,.318723,SUCCESS,4,2025-10-12 23:40:36
4,11,228,.349126,SUCCESS,7,2025-10-12 23:40:37
6,11,229,.196496,SUCCESS,3,2025-10-12 23:40:38
14,11,230,.142977,SUCCESS,3,2025-10-12 23:40:39
2,11,231,.220206,SUCCESS,46,2025-10-12 23:40:40
21,11,232,.695231,SUCCESS,49,2025-10-12 23:40:42
1,11,233,1.681323,SUCCESS,6,2025-10-12 23:40:46
3,11,234,.380949,SUCCESS,12,2025-10-12 23:40:47
22,11,235,.132550,SUCCESS,9,2025-10-12 23:40:48
10,11,236,.442238,SUCCESS,22,2025-10-12 23:40:50
12,11,237,.570670,SUCCESS,4,2025-10-12 23:40:51
9,11,238,.935409,SUCCESS,177,2025-10-12 23:40:54
11,11,239,.188207,SUCCESS,2543,2025-10-12 23:40:55
17,11,240,.635711,SUCCESS,3,2025-10-12 23:40:57
