run_number,io_method,replicate,database_size_gb,database_size_label,database_name,status,runtime_seconds,executed_at,qphh_metric,power_metric,throughput_metric
80,sync,10,30.000,30GB,tpch_db_30gb,COMPLETED,5406,2026-06-27 10:39:09,3058.67,3846.77,2432.04
81,sync,7,30.000,30GB,tpch_db_30gb,COMPLETED,5416,2026-06-27 12:15:43,3053.54,3845.04,2424.96
82,sync,6,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-27 13:47:28,11108.05,10274.01,12009.79
83,iouring,1,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-27 13:49:27,11114.68,10398.60,11880.08
84,bgworkers,10,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-27 13:51:25,11189.76,9883.34,12668.86
85,bgworkers,4,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-27 13:53:20,11145.58,9931.59,12507.98
86,sync,3,10.000,10GB,tpch_db_10gb,COMPLETED,326,2026-06-27 13:56:56,12596.30,10807.19,14681.59
87,bgworkers,12,10.000,10GB,tpch_db_10gb,COMPLETED,350,2026-06-27 14:05:21,11762.53,10239.19,13512.51
88,bgworkers,5,10.000,10GB,tpch_db_10gb,COMPLETED,352,2026-06-27 14:14:07,11685.71,10456.57,13059.32
89,sync,12,30.000,30GB,tpch_db_30gb,COMPLETED,5386,2026-06-27 14:26:25,3069.05,3857.53,2441.73
90,iouring,6,30.000,30GB,tpch_db_30gb,COMPLETED,5231,2026-06-27 16:02:42,3155.90,3946.80,2523.48
91,sync,9,10.000,10GB,tpch_db_10gb,COMPLETED,345,2026-06-27 17:32:54,11895.36,10879.49,13006.08
92,bgworkers,6,10.000,10GB,tpch_db_10gb,COMPLETED,355,2026-06-27 17:41:41,11562.53,10441.51,12803.89
93,bgworkers,6,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-27 17:49:05,11060.10,9977.26,12260.47
94,iouring,5,30.000,30GB,tpch_db_30gb,COMPLETED,5184,2026-06-27 17:56:03,3183.45,3969.11,2553.30
95,sync,8,10.000,10GB,tpch_db_10gb,COMPLETED,338,2026-06-27 19:25:24,12206.75,10721.94,13897.18
96,iouring,3,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-27 19:32:34,11510.40,10023.35,13218.07
97,bgworkers,1,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-27 19:34:31,10644.80,9709.86,11669.76
98,iouring,8,10.000,10GB,tpch_db_10gb,COMPLETED,348,2026-06-27 19:38:06,11722.97,10489.90,13100.98
100,sync,7,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-27 21:11:06,11150.38,9917.90,12536.03
101,sync,2,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-27 21:13:02,11199.24,10079.96,12442.81
102,bgworkers,3,30.000,30GB,tpch_db_30gb,COMPLETED,5408,2026-06-27 21:20:05,3103.23,3971.51,2424.79
103,bgworkers,4,10.000,10GB,tpch_db_10gb,COMPLETED,357,2026-06-27 22:53:13,11522.01,10482.26,12664.90
104,iouring,11,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-27 23:00:41,11671.64,10140.19,13434.37
105,sync,5,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-27 23:02:38,11129.16,10153.07,12199.09
106,iouring,6,10.000,10GB,tpch_db_10gb,COMPLETED,356,2026-06-27 23:06:12,11477.59,10505.13,12540.07
107,bgworkers,3,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-27 23:13:40,11159.12,9922.99,12549.23
108,bgworkers,9,30.000,30GB,tpch_db_30gb,COMPLETED,5090,2026-06-27 23:20:38,3243.14,3989.97,2636.11
